E,L,M,S,R,H,A,Y
Tamaulipas,57.23091529,1,1.472388737,-0.669435138,7.43416085,0,4.183235249
Tamaulipas,41.19969539,1,-0.168458938,0.163792363,19.34644667,1,-1.467908694
Tamaulipas,82.63300753,0,1.013726181,-2.328221643,19.79251497,0,-2.539687981
Tamaulipas,73.98975941,0,-5.636867735,4.001321717,5.587886732,1,-7.24269797
Tamaulipas,54.5168147,0,5.260425836,-0.796246995,25.66775888,1,-11.32232961
Tamaulipas,95.97125266,0,-2.172670729,2.050962779,2.801161563,0,-6.980007933
Tamaulipas,40.20085776,1,1.65844327,-1.015804347,24.28420514,1,-13.33509565
Tamaulipas,80.54879919,0,3.221138973,2.12258017,6.003616997,0,-5.299594659
Tamaulipas,73.62880675,0,6.900655982,0.803612912,12.18437064,0,-9.559054421
Tamaulipas,74.11172411,0,0.871716484,-0.484482478,6.85570467,0,-1.724262025
Tamaulipas,95.77793626,0,-0.347829168,1.603793153,4.292506908,0,-12.52663568
Tamaulipas,37.53965895,1,0.874916154,-2.062852279,16.58705073,1,-11.44337582
Tamaulipas,48.39653697,1,0.712698081,-0.21867988,29.48581407,1,-13.89943575
Tamaulipas,89.85242802,0,1.251430581,-0.587854352,7.800265108,0,-5.248569065
Tamaulipas,73.04993783,0,2.122490623,-0.819712823,12.26924169,0,-9.261165406
Tamaulipas,88.17681381,0,1.884811918,0.240077775,6.938397603,0,-8.195641889
Tamaulipas,69.32290571,0,1.158038227,-2.561423452,10.84100052,0,-7.632657328
Tamaulipas,40.2867653,1,-0.682607561,-1.158255494,18.21120055,0,2.067450133
Tamaulipas,86.58862109,0,2.466020961,3.765178164,9.667958209,0,-19.4911507
Tamaulipas,57.87111614,1,-6.585815824,6.636896339,12.62893595,1,-3.120015832
Tamaulipas,43.22507289,1,-0.437301546,-1.920756062,10.41652681,0,-8.636717237
Tamaulipas,71.46850763,0,-8.311871303,-1.673659426,11.31445396,0,12.03597671
Tamaulipas,57.41757471,0,-6.303015367,-5.218718014,8.686882934,0,23.59857403
